degree,in_proportion,out_proportion
1,0.056892068,0.159297789
2,0.073146944,0.208387516
3,0.08550065,0.152145644
4,0.132314694,0.08289987
5,0.189856957,0.048439532
6,0.159947984,0.052990897
7,0.092652796,0.052015605
8,0.041612484,0.042912874
9,0.013328999,0.029908973
10,0.006827048,0.019180754
11,0.002925878,0.007477243
12,0.00390117,0.006501951
13,0.00260078,0.005851756
14,0.001625488,0.001950585
15,0.00130039,0.001950585
16,0.001625488,0.00130039
17,0.001950585,0.002925878
18,0.000650195,0.003250975
19,0.001625488,0.00130039
20,0.00130039,0.000650195
21,0.002925878,0.00130039
22,0.001625488,0
23,0.000650195,0.001950585
24,0.001625488,0.002275683
25,0.001625488,0.000975293
26,0.001950585,0.001625488
27,0.000325098,0.000975293
28,0.001625488,0.000325098
29,0.000650195,0.000975293
30,0.000650195,0.000975293
31,0.001950585,0.000325098
32,0,0.000975293
33,0.000650195,0.000650195
34,0.000975293,0.000325098
35,0.000650195,0
36,0.000325098,0.000325098
37,0.000325098,0
38,0.000325098,0.000325098
39,0.000650195,0
40,0.000325098,0.000650195
41,0.000975293,0
42,0.00130039,0.000650195
43,0.001950585,0
44,0,0.000975293
45,0.000975293,0.000975293
46,0.00130039,0.000650195
47,0.00130039,0.000650195
48,0.000975293,0.000650195
49,0.00130039,0.000650195
50,0.000975293,0.000650195
51,0.000975293,0.000325098
52,0.000325098,0.000975293
53,0.000650195,0
54,0.000325098,0.000650195
55,0.000975293,0
56,0.000650195,0.000325098
57,0.000975293,0.000325098
58,0.000325098,0.000650195
59,0.000325098,0.000650195
60,0.000325098,0.000325098
61,0.000650195,0.000975293
62,0.000325098,0
63,0.00130039,0
64,0,0.00130039
65,0.000650195,0
66,0.000650195,0.00130039
67,0,0.000325098
69,0.000650195,0.000325098
70,0.000650195,0
72,0.000650195,0.000325098
73,0.001950585,0
74,0,0.001625488
75,0.000650195,0
76,0.000325098,0.000325098
77,0.000325098,0.000325098
78,0.000325098,0.000650195
79,0.000650195,0.000975293
80,0.000975293,0.000325098
81,0,0.000650195
82,0,0.000650195
83,0.000650195,0.000650195
84,0.000650195,0.000650195
85,0.000325098,0.000975293
86,0.000650195,0.000325098
87,0.000325098,0.000650195
88,0.000650195,0.000325098
89,0,0.000325098
90,0.000325098,0.000325098
91,0.000650195,0.000325098
92,0.000325098,0.000325098
94,0.000650195,0.000325098
95,0.000325098,0.000650195
96,0,0.000650195
97,0,0.000650195
98,0.000325098,0.000650195
99,0.000325098,0
100,0,0.000650195
101,0.000325098,0.000975293
102,0.000650195,0.000650195
103,0,0.000325098
104,0,0.000650195
106,0,0.00130039
108,0.000650195,0
109,0.000325098,0.000325098
110,0,0.000325098
111,0.000650195,0.000325098
112,0,0.000325098
113,0.000325098,0
114,0,0.000650195
115,0,0.000650195
116,0.000650195,0.000325098
117,0.000325098,0.000650195
118,0.000325098,0.000650195
119,0,0.000975293
120,0.000975293,0
121,0.000650195,0.000325098
122,0,0.000975293
123,0.000325098,0.000975293
124,0.000650195,0.000650195
125,0,0.000975293
127,0.000325098,0.000325098
128,0.000325098,0.000325098
129,0,0.000650195
131,0,0.000650195
132,0,0.000325098
133,0.000975293,0.000325098
134,0.000650195,0.000650195
135,0.000325098,0.000325098
136,0,0.000650195
137,0,0.000325098
138,0,0.000650195
139,0.000325098,0.000325098
140,0.000650195,0.00130039
141,0.000325098,0
143,0.000650195,0
144,0,0.000325098
145,0.000325098,0.000325098
146,0.000325098,0.000325098
147,0,0.000325098
149,0,0.000325098
150,0.000325098,0.000325098
151,0.000325098,0
153,0.000650195,0.000325098
154,0.000325098,0
155,0.000325098,0.000325098
156,0,0.000325098
157,0.000325098,0.000975293
158,0,0.000325098
160,0,0.000325098
161,0,0.000325098
162,0,0.000325098
163,0,0.000325098
168,0,0.000650195
170,0,0.000325098
173,0.000325098,0
174,0.000325098,0
177,0.000325098,0
178,0.000325098,0.000325098
182,0.000325098,0
184,0,0.000325098
186,0,0.000325098
189,0.000325098,0.000325098
190,0,0.000325098
192,0,0.000325098
193,0,0.000325098
204,0,0.000325098
207,0,0.000325098
210,0,0.000325098
214,0,0.000325098
218,0,0.000325098
225,0.000325098,0
231,0,0.000325098
232,0,0.000325098
238,0,0.000325098
239,0,0.000325098
245,0,0.000325098
258,0,0.000325098
262,0,0.000325098
270,0.000325098,0
300,0.000325098,0
301,0,0.000325098
308,0,0.000325098
347,0,0.000325098
355,0.000325098,0
373,0,0.000325098
388,0,0.000325098
421,0,0.000325098
445,0.000325098,0
455,0.000325098,0
460,0,0.000325098
485,0.000325098,0
560,0,0.000325098
588,0.000325098,0
600,0.000325098,0
602,0.000325098,0
633,0.000325098,0
654,0.000325098,0
1000,0.000325098,0
1091,0.000325098,0
