degree,in_proportion,out_proportion
1,0.02892562,0.041322314
2,0.053719008,0.061983471
3,0.04338843,0.047520661
4,0.055785124,0.041322314
5,0.037190083,0.035123967
6,0.035123967,0.045454545
7,0.05785124,0.047520661
8,0.047520661,0.04338843
9,0.037190083,0.033057851
10,0.049586777,0.049586777
11,0.041322314,0.026859504
12,0.02892562,0.022727273
13,0.035123967,0.035123967
14,0.024793388,0.020661157
15,0.033057851,0.035123967
16,0.020661157,0.026859504
17,0.01446281,0.024793388
18,0.035123967,0.030991736
19,0.037190083,0.024793388
20,0.030991736,0.033057851
21,0.018595041,0.022727273
22,0.01446281,0.024793388
23,0.010330579,0.022727273
24,0.024793388,0.008264463
25,0.018595041,0.018595041
26,0.016528926,0.016528926
27,0.006198347,0.012396694
28,0.006198347,0.016528926
29,0.006198347,0.012396694
30,0.006198347,0.012396694
31,0.002066116,0.004132231
32,0.006198347,0.004132231
33,0.002066116,0.004132231
34,0.012396694,0.008264463
35,0.008264463,0.008264463
36,0.010330579,0.002066116
37,0.004132231,0.002066116
38,0,0.002066116
39,0.008264463,0.012396694
40,0.002066116,0.002066116
41,0.006198347,0
42,0.008264463,0
43,0.002066116,0.002066116
44,0.002066116,0.002066116
45,0,0.002066116
46,0.004132231,0.002066116
47,0,0.002066116
48,0.004132231,0
49,0.002066116,0
50,0.002066116,0.002066116
51,0.008264463,0.002066116
52,0,0.002066116
54,0,0.002066116
55,0.002066116,0
56,0,0.004132231
77,0,0.002066116
83,0,0.002066116
