degree,in_proportion,out_proportion,normed deg,
1,0.091772152,0.040348101,0.000791139,0.091772152
2,0.068829114,0.050632911,0.001582278,0.068829114
3,0.064873418,0.049841772,0.002373418,0.064873418
4,0.048259494,0.045886076,0.003164557,0.048259494
5,0.053797468,0.045886076,0.003955696,0.053797468
6,0.045094937,0.067246835,0.004746835,0.045094937
7,0.043512658,0.051424051,0.005537975,0.043512658
8,0.040348101,0.049841772,0.006329114,0.040348101
9,0.040348101,0.048259494,0.007120253,0.040348101
10,0.029272152,0.046677215,0.007911392,0.029272152
11,0.018987342,0.035601266,0.008702532,0.018987342
12,0.023734177,0.034018987,0.009493671,0.023734177
13,0.026107595,0.027689873,0.01028481,0.026107595
14,0.019778481,0.032436709,0.011075949,0.019778481
15,0.025316456,0.021360759,0.011867089,0.025316456
16,0.019778481,0.017405063,0.012658228,0.019778481
17,0.017405063,0.018987342,0.013449367,0.017405063
18,0.007911392,0.02056962,0.014240506,0.007911392
19,0.018196203,0.016613924,0.015031646,0.018196203
20,0.013449367,0.015031646,0.015822785,0.013449367
21,0.011867089,0.014240506,0.016613924,0.011867089
22,0.014240506,0.015031646,0.017405063,0.014240506
23,0.01028481,0.016613924,0.018196203,0.01028481
24,0.011075949,0.011867089,0.018987342,0.011075949
25,0.005537975,0.01028481,0.019778481,0.005537975
26,0.007120253,0.011075949,0.02056962,0.007120253
27,0.002373418,0.008702532,0.021360759,0.002373418
28,0.009493671,0.005537975,0.022151899,0.009493671
29,0.004746835,0.011867089,0.022943038,0.004746835
30,0.002373418,0.007120253,0.023734177,0.002373418
31,0.005537975,0.004746835,0.024525316,0.005537975
32,0.007120253,0.006329114,0.025316456,0.007120253
33,0.005537975,0.007120253,0.026107595,0.005537975
34,0.003955696,0.01028481,0.026898734,0.003955696
35,0.003164557,0.005537975,0.027689873,0.003164557
36,0.000791139,0.003955696,0.028481013,0.000791139
37,0.002373418,0.005537975,0.029272152,0.002373418
38,0.000791139,0.007911392,0.030063291,0.000791139
39,0.004746835,0.004746835,0.03085443,0.004746835
40,0.005537975,0.002373418,0.03164557,0.005537975
41,0.004746835,0.003164557,0.032436709,0.004746835
42,0.004746835,0.004746835,0.033227848,0.004746835
43,0.003955696,0.003955696,0.034018987,0.003955696
44,0.002373418,0.007120253,0.034810127,0.002373418
45,0.001582278,0.004746835,0.035601266,0.001582278
46,0.000791139,0.002373418,0.036392405,0.000791139
47,0.000791139,0.000791139,0.037183544,0.000791139
48,0.003955696,0.000791139,0.037974684,0.003955696
49,0.005537975,0.003164557,0.038765823,0.005537975
50,0.001582278,0.000791139,0.039556962,0.001582278
51,0.003164557,0.001582278,0.040348101,0.003164557
52,0.002373418,0.001582278,0.041139241,0.002373418
53,0.002373418,0.000791139,0.04193038,0.002373418
54,0.002373418,0.002373418,0.042721519,0.002373418
55,0.001582278,0.000791139,0.043512658,0.001582278
56,0.002373418,0,0.044303797,0.002373418
57,0.003164557,0.001582278,0.045094937,0.003164557
58,0.001582278,0.001582278,0.045886076,0.001582278
59,0.001582278,0,0.046677215,0.001582278
60,0.003164557,0,0.047468354,0.003164557
61,0.002373418,0.001582278,0.048259494,0.002373418
62,0.001582278,0.000791139,0.049050633,0.001582278
63,0.002373418,0.001582278,0.049841772,0.002373418
64,0.003164557,0.002373418,0.050632911,0.003164557
65,0.003164557,0,0.051424051,0.003164557
66,0.002373418,0.000791139,0.05221519,0.002373418
67,0.002373418,0.000791139,0.053006329,0.002373418
68,0.001582278,0,0.053797468,0.001582278
69,0.001582278,0,0.054588608,0.001582278
71,0.000791139,0.000791139,0.056170886,0.000791139
72,0.000791139,0,0.056962025,0.000791139
73,0.001582278,0.000791139,0.057753165,0.001582278
77,0.001582278,0,0.060917722,0.001582278
78,0.001582278,0.000791139,0.061708861,0.001582278
79,0,0.000791139,0.0625,0
80,0.000791139,0,0.063291139,0.000791139
81,0.001582278,0,0.064082278,0.001582278
82,0.001582278,0,0.064873418,0.001582278
88,0.000791139,0,0.069620253,0.000791139
90,0.000791139,0,0.071202532,0.000791139
93,0.000791139,0,0.073575949,0.000791139
95,0.000791139,0,0.075158228,0.000791139
96,0,0.000791139,0.075949367,0
100,0.000791139,0,0.079113924,0.000791139
104,0,0.000791139,0.082278481,0
114,0.000791139,0,0.090189873,0.000791139
126,0,0.001582278,0.099683544,0
129,0.000791139,0,0.102056962,0.000791139
136,0.000791139,0,0.107594937,0.000791139
159,0.000791139,0,0.125791139,0.000791139
