degree,in_proportion,out_proportion,normed,
1,0.035460993,0.043971631,0.00141844,0.035460993
2,0.031205674,0.046808511,0.002836879,0.031205674
3,0.029787234,0.029787234,0.004255319,0.029787234
4,0.026950355,0.032624113,0.005673759,0.026950355
5,0.029787234,0.025531915,0.007092199,0.029787234
6,0.019858156,0.032624113,0.008510638,0.019858156
7,0.026950355,0.031205674,0.009929078,0.026950355
8,0.024113475,0.034042553,0.011347518,0.024113475
9,0.028368794,0.021276596,0.012765957,0.028368794
10,0.021276596,0.019858156,0.014184397,0.021276596
11,0.018439716,0.021276596,0.015602837,0.018439716
12,0.032624113,0.017021277,0.017021277,0.032624113
13,0.019858156,0.024113475,0.018439716,0.019858156
14,0.024113475,0.042553191,0.019858156,0.024113475
15,0.017021277,0.024113475,0.021276596,0.017021277
16,0.014184397,0.025531915,0.022695035,0.014184397
17,0.019858156,0.015602837,0.024113475,0.019858156
18,0.019858156,0.031205674,0.025531915,0.019858156
19,0.019858156,0.022695035,0.026950355,0.019858156
20,0.018439716,0.018439716,0.028368794,0.018439716
21,0.029787234,0.009929078,0.029787234,0.029787234
22,0.012765957,0.024113475,0.031205674,0.012765957
23,0.021276596,0.024113475,0.032624113,0.021276596
24,0.015602837,0.015602837,0.034042553,0.015602837
25,0.017021277,0.014184397,0.035460993,0.017021277
26,0.012765957,0.022695035,0.036879433,0.012765957
27,0.014184397,0.011347518,0.038297872,0.014184397
28,0.011347518,0.017021277,0.039716312,0.011347518
29,0.012765957,0.017021277,0.041134752,0.012765957
30,0.014184397,0.011347518,0.042553191,0.014184397
31,0.008510638,0.007092199,0.043971631,0.008510638
32,0.007092199,0.007092199,0.045390071,0.007092199
33,0.014184397,0.008510638,0.046808511,0.014184397
34,0.008510638,0.007092199,0.04822695,0.008510638
35,0.015602837,0.009929078,0.04964539,0.015602837
36,0.015602837,0.012765957,0.05106383,0.015602837
37,0.012765957,0.011347518,0.05248227,0.012765957
38,0.007092199,0.004255319,0.053900709,0.007092199
39,0.009929078,0.00141844,0.055319149,0.009929078
40,0.011347518,0.009929078,0.056737589,0.011347518
41,0.008510638,0.002836879,0.058156028,0.008510638
42,0.009929078,0.002836879,0.059574468,0.009929078
43,0.009929078,0.00141844,0.060992908,0.009929078
44,0.009929078,0.004255319,0.062411348,0.009929078
45,0.005673759,0.002836879,0.063829787,0.005673759
46,0.009929078,0.008510638,0.065248227,0.009929078
47,0.005673759,0.004255319,0.066666667,0.005673759
48,0.009929078,0.00141844,0.068085106,0.009929078
49,0.007092199,0.00141844,0.069503546,0.007092199
50,0.007092199,0.00141844,0.070921986,0.007092199
51,0.007092199,0.002836879,0.072340426,0.007092199
52,0.007092199,0.00141844,0.073758865,0.007092199
53,0.00141844,0.00141844,0.075177305,0.00141844
54,0.008510638,0,0.076595745,0.008510638
55,0.002836879,0.002836879,0.078014184,0.002836879
56,0.007092199,0.005673759,0.079432624,0.007092199
57,0.002836879,0.00141844,0.080851064,0.002836879
58,0.002836879,0.00141844,0.082269504,0.002836879
59,0,0.002836879,0.083687943,0
60,0.002836879,0.004255319,0.085106383,0.002836879
61,0.00141844,0.004255319,0.086524823,0.00141844
62,0.00141844,0.004255319,0.087943262,0.00141844
63,0.005673759,0.005673759,0.089361702,0.005673759
64,0.00141844,0.002836879,0.090780142,0.00141844
65,0.002836879,0,0.092198582,0.002836879
66,0.00141844,0.004255319,0.093617021,0.00141844
67,0.002836879,0.002836879,0.095035461,0.002836879
68,0.00141844,0.002836879,0.096453901,0.00141844
69,0,0.00141844,0.09787234,0
70,0,0.002836879,0.09929078,0
71,0.00141844,0.00141844,0.10070922,0.00141844
72,0,0.002836879,0.10212766,0
73,0.00141844,0.00141844,0.103546099,0.00141844
74,0,0.00141844,0.104964539,0
75,0.004255319,0.00141844,0.106382979,0.004255319
77,0.002836879,0.00141844,0.109219858,0.002836879
79,0.002836879,0.002836879,0.112056738,0.002836879
80,0,0.00141844,0.113475177,0
83,0,0.00141844,0.117730496,0
87,0.00141844,0,0.123404255,0.00141844
88,0.00141844,0.002836879,0.124822695,0.00141844
89,0,0.005673759,0.126241135,0
90,0.00141844,0.002836879,0.127659574,0.00141844
91,0,0.00141844,0.129078014,0
92,0.00141844,0.002836879,0.130496454,0.00141844
95,0,0.00141844,0.134751773,0
96,0,0.00141844,0.136170213,0
97,0.00141844,0.00141844,0.137588652,0.00141844
98,0.00141844,0,0.139007092,0.00141844
99,0.002836879,0,0.140425532,0.002836879
100,0,0.002836879,0.141843972,0
102,0,0.00141844,0.144680851,0
107,0.00141844,0.00141844,0.15177305,0.00141844
113,0,0.00141844,0.160283688,0
117,0,0.00141844,0.165957447,0
118,0,0.00141844,0.167375887,0
120,0,0.002836879,0.170212766,0
122,0,0.00141844,0.173049645,0
123,0,0.00141844,0.174468085,0
125,0.00141844,0,0.177304965,0.00141844
127,0.00141844,0,0.180141844,0.00141844
140,0,0.00141844,0.19858156,0
163,0,0.00141844,0.231205674,0
