degree,in_proportion,out_proportion,normed degree,
1,0.031674208,0.016042781,0.000411353,0.031674208
2,0.021390374,0.012340601,0.000822707,0.021390374
3,0.034965035,0.016042781,0.00123406,0.034965035
4,0.023035788,0.017276841,0.001645413,0.023035788
5,0.023447141,0.030440148,0.002056767,0.023447141
6,0.027560675,0.023447141,0.00246812,0.027560675
7,0.028383381,0.025503908,0.002879473,0.028383381
8,0.026326615,0.028383381,0.003290827,0.026326615
9,0.027972028,0.028383381,0.00370218,0.027972028
10,0.023447141,0.027149321,0.004113534,0.023447141
11,0.019744961,0.036199095,0.004524887,0.019744961
12,0.027972028,0.036199095,0.00493624,0.027972028
13,0.028794735,0.029206088,0.005347594,0.028794735
14,0.029617441,0.031262855,0.005758947,0.029617441
15,0.022213081,0.021390374,0.0061703,0.022213081
16,0.022213081,0.027560675,0.006581654,0.022213081
17,0.019333608,0.025503908,0.006993007,0.019333608
18,0.023035788,0.018922254,0.00740436,0.023035788
19,0.011517894,0.030440148,0.007815714,0.011517894
20,0.018510901,0.019333608,0.008227067,0.018510901
21,0.018922254,0.019744961,0.00863842,0.018922254
22,0.011517894,0.020979021,0.009049774,0.011517894
23,0.019333608,0.018922254,0.009461127,0.019333608
24,0.015631427,0.017276841,0.00987248,0.015631427
25,0.018099548,0.018510901,0.010283834,0.018099548
26,0.015631427,0.016042781,0.010695187,0.015631427
27,0.010695187,0.015220074,0.011106541,0.010695187
28,0.013986014,0.014397367,0.011517894,0.013986014
29,0.013574661,0.017276841,0.011929247,0.013574661
30,0.010695187,0.012340601,0.012340601,0.010695187
31,0.012751954,0.00987248,0.012751954,0.012751954
32,0.011106541,0.009049774,0.013163307,0.011106541
33,0.010695187,0.014397367,0.013574661,0.010695187
34,0.011106541,0.005347594,0.013986014,0.011106541
35,0.012340601,0.00987248,0.014397367,0.012340601
36,0.013574661,0.011929247,0.014808721,0.013574661
37,0.010695187,0.010283834,0.015220074,0.010695187
38,0.009049774,0.009461127,0.015631427,0.009049774
39,0.011517894,0.009049774,0.016042781,0.011517894
40,0.004113534,0.009049774,0.016454134,0.004113534
41,0.009461127,0.011106541,0.016865487,0.009461127
42,0.005758947,0.006993007,0.017276841,0.005758947
43,0.006581654,0.010695187,0.017688194,0.006581654
44,0.006993007,0.00740436,0.018099548,0.006993007
45,0.00740436,0.0061703,0.018510901,0.00740436
46,0.005347594,0.009461127,0.018922254,0.005347594
47,0.00493624,0.00863842,0.019333608,0.00493624
48,0.00493624,0.00246812,0.019744961,0.00493624
