degree,in_proportion,out_proportion,,
1,0.010721248,0.00877193,0.000974659,0.010721248
2,0.030214425,0.019493177,0.001949318,0.030214425
3,0.029239766,0.018518519,0.002923977,0.029239766
4,0.023391813,0.011695906,0.003898635,0.023391813
5,0.029239766,0.018518519,0.004873294,0.029239766
6,0.024366472,0.024366472,0.005847953,0.024366472
7,0.044834308,0.020467836,0.006822612,0.044834308
8,0.030214425,0.031189084,0.007797271,0.030214425
9,0.031189084,0.024366472,0.00877193,0.031189084
10,0.022417154,0.032163743,0.009746589,0.022417154
11,0.035087719,0.030214425,0.010721248,0.035087719
12,0.024366472,0.025341131,0.011695906,0.024366472
13,0.026315789,0.023391813,0.012670565,0.026315789
14,0.025341131,0.020467836,0.013645224,0.025341131
15,0.023391813,0.023391813,0.014619883,0.023391813
16,0.020467836,0.024366472,0.015594542,0.020467836
17,0.022417154,0.020467836,0.016569201,0.022417154
18,0.016569201,0.016569201,0.01754386,0.016569201
19,0.024366472,0.016569201,0.018518519,0.024366472
20,0.014619883,0.022417154,0.019493177,0.014619883
21,0.014619883,0.023391813,0.020467836,0.014619883
22,0.014619883,0.019493177,0.021442495,0.014619883
23,0.009746589,0.022417154,0.022417154,0.009746589
24,0.018518519,0.025341131,0.023391813,0.018518519
25,0.013645224,0.020467836,0.024366472,0.013645224
26,0.014619883,0.015594542,0.025341131,0.014619883
27,0.01754386,0.011695906,0.026315789,0.01754386
28,0.012670565,0.027290448,0.027290448,0.012670565
29,0.013645224,0.015594542,0.028265107,0.013645224
30,0.012670565,0.01754386,0.029239766,0.012670565
31,0.013645224,0.014619883,0.030214425,0.013645224
32,0.011695906,0.019493177,0.031189084,0.011695906
33,0.00877193,0.019493177,0.032163743,0.00877193
34,0.012670565,0.013645224,0.033138402,0.012670565
35,0.010721248,0.014619883,0.03411306,0.010721248
36,0.009746589,0.013645224,0.035087719,0.009746589
37,0.006822612,0.011695906,0.036062378,0.006822612
38,0.005847953,0.010721248,0.037037037,0.005847953
39,0.005847953,0.010721248,0.038011696,0.005847953
40,0.009746589,0.011695906,0.038986355,0.009746589
41,0.00877193,0.006822612,0.039961014,0.00877193
42,0.009746589,0.002923977,0.040935673,0.009746589
43,0.010721248,0.010721248,0.041910331,0.010721248
44,0.009746589,0.010721248,0.04288499,0.009746589
45,0.004873294,0.009746589,0.043859649,0.004873294
46,0.009746589,0.007797271,0.044834308,0.009746589
47,0.004873294,0.003898635,0.045808967,0.004873294
48,0.006822612,0.005847953,0.046783626,0.006822612
49,0.006822612,0.009746589,0.047758285,0.006822612
50,0.005847953,0.005847953,0.048732943,0.005847953
51,0.004873294,0.002923977,0.049707602,0.004873294
52,0.001949318,0.007797271,0.050682261,0.001949318
53,0.005847953,0.005847953,0.05165692,0.005847953
54,0.005847953,0.005847953,0.052631579,0.005847953
55,0.005847953,0.00877193,0.053606238,0.005847953
56,0.007797271,0.004873294,0.054580897,0.007797271
57,0.001949318,0.009746589,0.055555556,0.001949318
58,0.003898635,0.005847953,0.056530214,0.003898635
59,0.001949318,0.001949318,0.057504873,0.001949318
60,0.003898635,0.003898635,0.058479532,0.003898635
61,0.003898635,0.004873294,0.059454191,0.003898635
62,0.003898635,0.007797271,0.06042885,0.003898635
63,0.002923977,0.010721248,0.061403509,0.002923977
64,0.003898635,0.001949318,0.062378168,0.003898635
65,0.003898635,0,0.063352827,0.003898635
66,0.004873294,0.004873294,0.064327485,0.004873294
67,0.001949318,0.001949318,0.065302144,0.001949318
68,0.003898635,0.003898635,0.066276803,0.003898635
69,0.007797271,0.001949318,0.067251462,0.007797271
70,0.005847953,0.003898635,0.068226121,0.005847953
71,0.002923977,0.002923977,0.06920078,0.002923977
72,0.004873294,0.004873294,0.070175439,0.004873294
73,0.003898635,0.003898635,0.071150097,0.003898635
74,0.007797271,0.003898635,0.072124756,0.007797271
75,0,0.000974659,0.073099415,0
76,0.005847953,0.001949318,0.074074074,0.005847953
